neutraalne,"Tänasest juhib riigi tugiteenuste keskust Tarmo Leppoja, kes varem töötas EASi juhatuse liikmena."
neutraalne,"Leppoja töötas viimased neli aastat EASi juhatuse liikmena, vastutades ettevõtlusega alustamise ja regionaalse arengu ning kodanikuühiskonna arendamise eest."
neutraalne,Eelnevalt töötas ta erinevatel ametikohtadel EASis ning varasemalt on töötanud erasektoris konsultatsioonifirmades. Leppoja on lõpetanud Eesti Kõrgema Kommertskooli (EBS) rahvusvahelise ärijuhtimise eriala 1999. aastal.
neutraalne,"Riigi Tugiteenuste Keskus on rahandusministeeriumi hallatav asutus, mis on loodud 2012.aasta alguses Justiitsministeeriumi valitsemisala asutuse kohtute raamatupidamiskeskuse baasil."
neutraalne,Keskus osutab hetkel finants- ning personali- ja palgaarvestuse teenuseid justiitsministeeriumi valitsemisala asutustele.
neutraalne,Tarmo Leppoja põhiväljakutseks uues ametis on lisaks keskuse tegevuse juhtimisele ning tugiteenuste arendamisele ettevalmistamisel oleva rahandusministeeriumi ja mitme teise ministeeriumi valitsemisala finants- ning personali- ja palgaarvestuse teenuste üleminek keskuse teenindamisele järgmisest aastast.
neutraalne,"Linnavalitsus algatab homsel istungil detailplaneeringu, mis näeb muuhulgas ette 14-korruselise elamu ja kahe 13-korruselise ärihoone ehitamise Tammsaare tee ja Rahumäe tee nurgale."
neutraalne,"Linnavalitsuse korraldusega algatatakse Kristiine linnaosas, 2,66 hektari suurusel maa-alal Rahumäe tee 2/2 ja 2/3, A. H. Tammsaare tee 53a, 53b ja 55 kruntide ning lähiala detailplaneering."
neutraalne,"Detailplaneeringu eesmärk on osaliselt muuta planeeritavale alale jäävate kruntide piire ning maakasutuse sihtotstarbeid nii, et moodustatakse neli ärimaa, üks elamumaa, üks transpordimaa ja üks tootmismaa krunt ja määratakse täiendav ehitusõigus ühe kuni 14 maapealse ja ühe maa-aluse korrusega korterelamu, kahe kuni 13 maapealse ja ühe maa-aluse korrusega ärihoone ning ühe kuni nelja maapealse ja kahe maa-aluse korrusega ärihoone rajamiseks."
neutraalne,"Pühapäeval, 16. septembril seiskub liiklus Narva maantee–Pronksi–Jõe tänava kandis hommikul kella 7 ja 9.30 vahel filmivõtete tõttu, teatas eile Raepress."
negatiivne,"Täpsemal uurimisel selgus, et liiklus lubatakse seisata A. Le Coqi reklaami väntamiseks, kirjutas Õhtuleht."
positiivne,"Tegu on reklaamivõtetega, mille tarbeks on vaja tekitada natuke tühja linna. Kuna tegu on nädalavahetusel hommikuse ajaga, kui linn on niikuinii üsna vaikne, siis ei tohiks filmimine liiklust eriti häirida, ütles võtteid korraldava osaühingu Sigmund Films juhatuse liige Ralf Siig."
neutraalne,"Umbes pooled 2000. aastatel Eestist Soome paremat elu otsima läinud inimesed tegid seda sissetulekuga seotud põhjustel, selgub TÜ inimgeograafia doktorandi Kristi Anniste uuringust. Tagasi tooks inimesed hea töö ja korralik palk, mis võimaldaks hea majandusliku toimetulemise."
neutraalne,"Anniste uuring näitas, et tööpuuduse tõttu on viimase 20 aasta jooksul soome läinud vaid 7 protsenti väljarändajatest ja et Eestis oli lahkunud inimestest kolmveerandil töökoht olemas. Kõige enam on Soome tööle läinud klienditeenindajaid."
positiivne,"Suurem osa Soome kolinud inimestest leidis kolme kuu jooksul töökoha ja enamasti leiti töö sugulaste või tuttavate kaudu. Kolmandik väljarändajatest töötas oma esimeses töökohas oskustöölisena ja neljandik lihttöölisena. Ligi kolmandik tegid tööd, mis oleks eeldanud madalamat kvalifikatsiooni. Kõige sagedamini leppisid oma kvalifikatsioonist madalama ametiga kõrgharidusega väljarändajad. 91 protsenti Soome kolinutest on oma tööga rahul."
